question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,model
when did the lion king start on broadway,"November 13, 1997", The Lion King started on Broadway in 1998.,baseline,0.8711,False,0.6187,False,-1.0,naturalqs,mistral
when did the lion king start on broadway,"November 13, 1997"," I cannot find this information in the provided context. The context does not specify when ""The Lion King"" started on Broadway.",hcpc_v1,0.7246,False,0.6118,False,-1.0,naturalqs,mistral
when did the lion king start on broadway,"November 13, 1997", The Lion King started on Broadway in 1998.,hcpc_v2,0.8711,False,0.6187,False,0.5966,naturalqs,mistral
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment," The key factor that allowed Hershey and Chase to determine that DNA, not protein, is the genetic material was their observation that most of the protein did not enter the host bacterial cell when bacteriophages infected bacteria, while almost all the radioactive S (indicating protein) remained outside the cell. This suggested that it was the DNA, not the protein, that entered the cell and played a role in producing progeny inside a bacterium.",baseline,0.5205,False,0.4451,False,-1.0,naturalqs,mistral
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment, The key factor that allowed Hershey and Chase to conclude their experiment was the observation that little sulfur-containing material entered the bacterial cell.,hcpc_v1,0.4661,True,0.5633,False,-1.0,naturalqs,mistral
what was the key factor that allowed hershey and chase,The results of the Avery–MacLeod–McCarty experiment," The key factor that allowed Hershey and Chase to determine that DNA, not protein, is the genetic material was their observation that most of the phage's protein did not enter the host bacterial cell during infection, while almost all the radioactive S (indicating sulfur-containing proteins) remained outside the cell. This suggested that it was the DNA, not the protein, that entered the cell and played a role in genetic material.",hcpc_v2,0.5781,False,0.4451,False,0.7138,naturalqs,mistral
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor"," The observation that led to the theory of seafloor spreading was the discovery that the seafloor itself moves and carries the continents with it, as it expands from a central axis. This idea was proposed by Harry Hess from Princeton University in the 1960s.",baseline,0.6986,False,0.7342,False,-1.0,naturalqs,mistral
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor"," The observation that led to the theory of seafloor spreading was not explicitly mentioned in the provided context. However, it can be inferred that the idea came from the observation of the movement of the seafloor itself and its expansion from a central axis, which was proposed by Harry Hess from Princeton University in the 1960s.",hcpc_v1,0.6702,False,0.7263,False,-1.0,naturalqs,mistral
what observation led to the theory of seafloor spreading,"magnetic stripe ""anomalies"" on the ocean floor"," The observation that led to the theory of seafloor spreading was the discovery that the seafloor itself moves, as proposed by Harry Hess from Princeton University in the 1960s. This observation helped explain continental drift in the theory of plate tectonics.",hcpc_v2,0.7348,False,0.7342,False,0.7988,naturalqs,mistral
when was coffee first made into a drink,the 15th century," The first credible evidence of coffee being made into a drink is from the middle of the 15th century, in Yemen's Sufi monasteries.",baseline,0.478,True,0.6192,False,-1.0,naturalqs,mistral
when was coffee first made into a drink,the 15th century, The earliest substantiated evidence of coffee being made into a drink is from the 15th century.,hcpc_v1,0.7117,False,0.6426,False,-1.0,naturalqs,mistral
when was coffee first made into a drink,the 15th century," The first credible evidence of coffee being made into a drink is from the middle of the 15th century, in Yemen's Sufi monasteries.",hcpc_v2,0.478,True,0.6192,True,0.7628,naturalqs,mistral
what is the term for circular movement around a central point,Coriolis effect," The provided context does not mention the term for circular movement around a central point. However, it does discuss the centrifugal force which acts outwards in the radial direction due to an object's rotation around a central point. But it doesn't explicitly state that ""centrifugal"" is the term for circular movement itself.",baseline,0.5018,False,0.4985,False,-1.0,naturalqs,mistral
what is the term for circular movement around a central point,Coriolis effect, Rotation or Circular Motion,hcpc_v1,0.97,False,0.5136,False,-1.0,naturalqs,mistral
what is the term for circular movement around a central point,Coriolis effect," The provided context does not explicitly mention the term for circular movement around a central point. However, it does mention the centrifugal force which acts outwards in the radial direction due to an object's rotation around a central point. But the term ""circular movement"" itself is not directly mentioned in the context.",hcpc_v2,0.437,True,0.4985,True,0.6863,naturalqs,mistral
why were the wars between rome and carthage called the punic wars,"the Latin word Punicus (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry"," The Punic Wars were called the Punic Wars because the term ""Punic"" comes from the Latin word ""Punicus"" (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry.",baseline,0.783,False,0.7913,False,-1.0,naturalqs,mistral
why were the wars between rome and carthage called the punic wars,"the Latin word Punicus (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry"," The Punic Wars were called the Punic Wars because the term ""Punic"" comes from the Latin word ""Punicus"" (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry.",hcpc_v1,0.783,False,0.7913,False,-1.0,naturalqs,mistral
why were the wars between rome and carthage called the punic wars,"the Latin word Punicus (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry"," The Punic Wars were called the Punic Wars because the term ""Punic"" comes from the Latin word ""Punicus"" (or Poenicus), meaning ""Carthaginian"", with reference to the Carthaginians' Phoenician ancestry.",hcpc_v2,0.783,False,0.7913,False,0.783,naturalqs,mistral
what is a e8 in the marine corps,Master sergeant," An E-8 in the Marine Corps refers to a non-commissioned officer (NCO) at the senior level. The context does not provide specific ranks for E-8, but it mentions that there are two ranks per pay grade at this level, each with different responsibilities. These could be Gunnery Sergeant (E-7), Master Sergeant (MSgt), or possibly other ranks like First Sergeant (1stSgt) or Master Gunnery Sergeant (MGySgt), as they are also E-8s. However, the context does not explicitly state these as E-8 ranks.",baseline,0.6011,False,0.4311,False,-1.0,naturalqs,mistral
what is a e8 in the marine corps,Master sergeant," The provided context does not specify the exact rank names for each pay grade, but it mentions that Grade E-8 has two ranks per pay grade. Since the highest billets in the Marine Corps are four-star ranks (Commandant and Assistant Commandant), it's reasonable to assume that one of the E-8 ranks could be a three-star rank, as lower ranks typically have fewer stars. However, without more specific information, I cannot definitively say what the exact rank names for each pay grade are or what the specific responsibilities of each rank within an E-8 pay grade are.",hcpc_v1,0.4981,True,0.4982,False,-1.0,naturalqs,mistral
what is a e8 in the marine corps,Master sergeant," An E-8 in the Marine Corps is a Staff Noncommissioned Officer (SNCO). However, the context does not provide specific details about the ranks within the E-8 level. The ranks at this level each have two ranks per pay grade, each with different responsibilities, as mentioned in the context. Examples of these ranks could be Gunnery Sergeant (E-7), Master Sergeant (MSgt), and possibly others, but the exact names are not specified in the provided context.",hcpc_v2,0.6699,False,0.4311,True,0.615,naturalqs,mistral
what is the processor for google nexus 5,a 2.26 GHz quad-core Snapdragon 800 processor, The processor for Google Nexus 5 is a 2.26 GHz quad-core Snapdragon 800 processor.,baseline,0.6581,False,0.5551,False,-1.0,naturalqs,mistral
what is the processor for google nexus 5,a 2.26 GHz quad-core Snapdragon 800 processor, I cannot find this information in the provided context. The context does not mention the specific processor used in the Google Nexus 5.,hcpc_v1,0.7517,False,0.584,False,-1.0,naturalqs,mistral
what is the processor for google nexus 5,a 2.26 GHz quad-core Snapdragon 800 processor, The processor for the Google Nexus 5 is a 2.26 GHz quad-core Snapdragon 800 processor.,hcpc_v2,0.6653,False,0.5551,True,0.6279,naturalqs,mistral
when was the land rover defender first built,in the 1980s, The Land Rover Defender was first built in 1983.,baseline,0.7641,False,0.7109,False,-1.0,naturalqs,mistral
when was the land rover defender first built,in the 1980s," The Land Rover Defender, originally known as the Land Rover 110, was first built in 1983.",hcpc_v1,0.7609,False,0.713,False,-1.0,naturalqs,mistral
when was the land rover defender first built,in the 1980s, The Land Rover Defender was first built in 1983.,hcpc_v2,0.7641,False,0.7109,False,0.6124,naturalqs,mistral
who played joey's agent estelle on friends,June Gable, June Gable played Joey's agent Estelle on Friends.,baseline,0.8721,False,0.5801,False,-1.0,naturalqs,mistral
who played joey's agent estelle on friends,June Gable, June Gable played Joey's agent Estelle on Friends.,hcpc_v1,0.8721,False,0.6576,False,-1.0,naturalqs,mistral
who played joey's agent estelle on friends,June Gable, June Gable played Joey's agent Estelle on Friends.,hcpc_v2,0.8721,False,0.5801,True,0.3019,naturalqs,mistral
who is the original singer of i write sins not tragedies,Panic! at the Disco," The original singer of ""I Write Sins Not Tragedies"" is Brendon Urie, as stated in the provided context.",baseline,0.468,True,0.796,False,-1.0,naturalqs,mistral
who is the original singer of i write sins not tragedies,Panic! at the Disco," Brendon Urie, from American rock band Panic! at the Disco, is the original singer of ""I Write Sins Not Tragedies.""",hcpc_v1,0.5147,False,0.7824,False,-1.0,naturalqs,mistral
who is the original singer of i write sins not tragedies,Panic! at the Disco," The original singer of ""I Write Sins Not Tragedies"" is Brendon Urie, as stated in the provided context.",hcpc_v2,0.468,True,0.796,False,0.5669,naturalqs,mistral
what is the main mineral in lithium batteries,lithium," I cannot find this information in the provided context. The context does mention that lithium is commonly obtained from brines, but it does not specify the main mineral in lithium batteries.",baseline,0.6307,False,0.6497,False,-1.0,naturalqs,mistral
what is the main mineral in lithium batteries,lithium," I cannot find this information in the provided context. The context does mention that lithium is used in batteries, but it doesn't specify the main mineral within those batteries.",hcpc_v1,0.5956,False,0.66,False,-1.0,naturalqs,mistral
what is the main mineral in lithium batteries,lithium, I cannot find this information in the provided context. The context does not specify the main mineral used in lithium batteries.,hcpc_v2,0.725,False,0.6497,True,0.6438,naturalqs,mistral
what was the name of the plant on little shop of horrors,Audrey II, Audrey II is the name of the plant in Little Shop of Horrors.,baseline,0.8513,False,0.6955,False,-1.0,naturalqs,mistral
what was the name of the plant on little shop of horrors,Audrey II," The context does not provide information about the name of the plant in Little Shop of Horrors. However, it is known that the story is centered around a carnivorous plant named Audrey II.",hcpc_v1,0.6511,False,0.6723,False,-1.0,naturalqs,mistral
what was the name of the plant on little shop of horrors,Audrey II, Audrey II is the name of the plant in Little Shop of Horrors.,hcpc_v2,0.8513,False,0.6955,True,0.6874,naturalqs,mistral
where do they drop in game of games,a chute beneath his or her feet," I cannot find information about a ""game of games"" in the provided context. The context only describes various basketball-related terms and areas, but there's no mention of a ""game of games.""",baseline,0.362,True,0.3477,False,-1.0,naturalqs,mistral
