pair_id,ground_truth,answer_in_high_context,answer_in_low_context
fix01_26c450a6107b,Gap,False,False
fix01_c3f0d64bf2c3,1879,True,False
fix01_11f04d13ba15,a deficit.,False,True
fix01_86b690485506,increased scrutiny on teacher misconduct,False,False
fix01_cce15f557ccc,Brandon McManus,False,True
fix01_30360fe55536,input encoding,False,False
fix01_ca56dd58f99a,an increase in the input size,False,False
fix01_eb7c8d237540,Jerome Schurf,False,False
fix01_309833205de9,5th Avenue laboratory fire of March 1895,True,True
fix01_4f1e15899ff9,two catechisms,False,False
fix01_0ea7842f88d9,Prussia,False,False
fix01_867718e9a234,visitation of the Electorate,False,False
fix01_e95e623b0027,40 to 50 students,False,False
fix01_09931c8df3d2,more than 70,True,False
fix01_4265a77fda33,1943,False,False
fix01_85a14992364a,established Church,False,False
fix01_f7da5050a5c9,SI unit of magnetic flux density,False,True
fix01_105f312ca7a1,Śródmieście,False,False
fix01_3e902a96d612,War,False,False
fix01_5eecd47ef390,Belgrade,False,True
fix01_ff89bfb9b47e,Ten,False,False
fix01_c8446644f515,1884,True,True
fix01_d0ac2d7e8e3c,John Fox,False,False
fix01_45e3c5a33542,a computational problem,True,False
fix01_1daf255799cb,installed electrical arc light based illumination systems,False,False
fix01_86648ef58d04,Anheuser-Busch InBev,False,False
fix01_32489bbe2580,Westinghouse Electric,False,True
fix01_fe1b54072288,15 June 1899,False,False
fix01_bfad961c515b,substitute parent,False,True
fix01_ba97c1d670e0,1985,False,False
fix01_23262838c98e,computability theory,False,False
fix01_4658bf24ca61,William II,False,False
fix01_a2f14a465277,one,True,False
fix01_5763f1d18188,transient,False,False
fix01_5d6c1e6a36eb,Mark Twain,False,False
fix01_b09d84893f25,Thomas Davis,False,False
fix01_869146d71c43,Mike Tolbert,False,True
fix01_d9b85075e735,a UNESCO World Heritage Site,False,True
fix01_12aab0896339,seal of approval,False,False
fix01_e48a5c6b76ef,2010,False,False
fix01_dcd54e006fd0,Demaryius Thomas,False,True
fix01_faaec5abb8c2,Ted Ginn Jr.,True,True
fix01_0beeb82f2af9,civil servants,False,False
fix01_f185492ace6d,28,False,False
fix01_566a65b70dd4,lost in the 5th Avenue laboratory fire of March 1895,False,False
fix01_03506a3d1e70,1893,True,True
fix01_d96492188b47,Chartered,False,True
fix01_2d8e393178e5,50 fund,False,False
fix01_5974aba807f1,one of the most common,False,False
fix01_9113385099d5,11:28,False,False
fix01_acd530fc0157,67.9,False,False
fix01_ace5eb793f41,Carolina Panthers,False,True
fix01_cf6c90d6c1ad,1893,False,False
fix01_df3657312a4a,Qutb,False,False
fix01_1e2349e4746e,31–24,False,True
fix01_72925e9e3555,a shortage of male teachers,False,False
fix01_c8bf1482f934,Tuesday,False,False
fix01_69cf7cbcf7f2,motivated students,False,False
fix01_80929709a946,Super Bowl XXXIII,False,False
fix01_11141cfc0187,The Saxon Garden,False,False
fix01_e99d9c4a997e,William H. Maxwell,False,False
fix01_21fa65cff0ca,Catholicism,False,True
fix01_d2684a0b07dc,24,True,False
fix01_222e3dd92f0e,Chicago,False,False
fix01_85546a9c0d25,Beyoncé and Bruno Mars,False,False
fix01_aab32d16a29a,gold,False,True
fix01_23361fb095fb,four,True,False
fix01_a011cca0893a,see School corporal punishment.,False,False
fix01_625fe9f4e975,sparking,False,True
fix01_881739fc8698,Malik Jackson,True,False
fix01_30dd2770c34d,Von Miller,True,False
fix01_f07f4cf7948c,Panic of 1901,False,False
fix01_c1115ea1a49c,private conferences,False,False
fix01_a37cbec16316,$5 million,False,False
fix01_9a572f3e7321,seven,False,True
fix01_c2fd1c4cf2aa,Thomas Davis,False,False
fix01_a95b5ed635d9,my Patmos,False,False
fix01_696f8c77560b,Smalcald Articles,True,True
fix01_5c336aba1775,writings in volumes,False,False
fix01_8bafcd3047cc,excommunication,False,False
fix01_e2e9a5ea07b5,Tesla and/or Edison had refused the prize,True,True
fix01_d860a5ddf3a5,arrived too late,False,False
fix01_da87e24b47e6,Death Wish Coffee,False,True
fix01_ad3f7665f9ce,Belgrade,False,False
fix01_ab51ba6881bf,anti-aircraft purposes,False,False
fix01_d80597aabed1,"Denmark, Iceland and Norway",True,False
fix01_797cc4e3329a,three,True,True
fix01_e84a58ccecde,Cam Newton,False,False
fix01_ea7b7ceb5aca,American Football Conference,False,False
fix01_3100dc1299cd,Serbian,False,True
fix01_6e92b0d99a31,former monastery,True,True
fix01_b32f876e6167,2011,False,False
fix01_1a4dd99401b8,the posting on the door,False,False
fix01_e37880646976,friends of Luther,False,True
fix01_8aefd84cc5a6,paid professionals.,False,False
fix01_ed68fc6016b1,2011,False,False
fix01_3b9ef124729f,Coldplay,False,False
fix01_e162d13f1f7b,Business Connect,False,False
fix01_480790b8b26c,protein structure prediction,False,False
fix01_c4f6695029a8,81,False,False
fix01_47ed64b06bf7,Lehramtstudien (Teaching Education Studies),False,False
fix01_4f96c9bbf515,school functions,False,False
fix01_044ec3830a9e,Stanford University,False,False
fix01_089fc5771958,five inches,False,False
fix01_0534b1f1e06e,Ed McCaffrey,False,False
fix01_60bdc8abacda,University of Erfurt,False,False
fix01_0508ae60dc60,under the temporal sovereign,False,False
fix01_6ae4a4de7315,Carolina Panthers,False,False
fix01_46a5aff751de,1886/1887,False,False
fix01_16955e5c8de2,three,True,True
fix01_3baede53283c,Super Bowl Opening Night.,False,False
fix01_4da77b0fbf50,Anderson,False,False
fix01_25fb379408e4,New York City,False,True
fix01_91ec3af05880,Polish United Workers' Party,False,False
fix01_5dead70602ee,sacrifice,False,False
fix01_2e070ca86987,Santa Clara Marriott.,False,True
fix01_8cb88f176528,"because of its advantages in long-distance, high-voltage transmission",False,False
fix01_c30b75b22096,John Fox,False,True
fix01_4e091dc07a0b,Seattle Seahawks,False,True
fix01_8e5405312c3f,Museum of Independence,False,False
fix01_4feea804825a,Cam Newton,False,True
fix01_28eb0bb2dbe0,higher,False,False
fix01_938c3faba59b,Seine,False,False
fix01_90aa08c1b098,fifty thousand dollars,False,False
